task,method,variant_id,lm_window_length,metric,score,graph_density,density_basis,sampled_sentences,distinct_partitions,total_partitions,total_edges,average_sentence_partitions,average_distinct_ngrams_per_sentence,included_in_plot,metric_status,corpus_filename,resolved_corpus_file
analogy,lm-lemma,v27,3,accuracy,0.0308111206649,0.038950496106,task partition corpus,10000,18418,238356,6606088,23.8356,21.8853,True,current,resources/text//intrinsic/-1714918136.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/-1714918136.txt
analogy,lm-lemma,v28,3,accuracy,0.0317426196618,0.038950496106,task partition corpus,10000,18418,238356,6606088,23.8356,21.8853,True,current,resources/text//intrinsic/-2041648302.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/-2041648302.txt
analogy,lm-rank,v1,2,accuracy,0.000143307537976,0.134063551749,task partition corpus,3984,7482,113465,3751959,28.4801706827,26.0805722892,True,current,resources/text//intrinsic/249431159.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/249431159.txt
analogy,lm-rank,v2,2,accuracy,0.000644883920894,0.121152869233,task partition corpus,3984,8799,126716,4689440,31.8062248996,28.671435743,True,current,resources/text//intrinsic/249431845.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/249431845.txt
analogy,lm-rank,v3,2,accuracy,0.00186299799369,0.0973572741774,task partition corpus,3984,9757,125817,4633685,31.5805722892,28.6573795181,True,current,resources/text//intrinsic/249432531.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/249432531.txt
analogy,lm-rank,v4,3,accuracy,0.000143307537976,0.134063551749,task partition corpus,3984,7482,113465,3751959,28.4801706827,26.0805722892,True,current,resources/text//intrinsic/249433616.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/249433616.txt
analogy,lm-rank,v5,3,accuracy,0.000214961306965,0.128254141642,task partition corpus,3984,8727,129224,4883392,32.4357429719,28.9789156627,True,current,resources/text//intrinsic/249434302.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/249434302.txt
analogy,lm-rank,v6,3,accuracy,0.00150472914875,0.101731835202,task partition corpus,3984,9743,128391,4828005,32.2266566265,28.96812249,True,current,resources/text//intrinsic/249434988.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/249434988.txt
analogy,lm-rank,v7,4,accuracy,0.000214961306965,0.134063551749,task partition corpus,3984,7482,113465,3751959,28.4801706827,26.0805722892,True,current,resources/text//intrinsic/249436073.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/249436073.txt
analogy,lm-rank,v8,4,accuracy,0.000859845227859,0.130304572019,task partition corpus,3984,8960,133512,5229946,33.5120481928,28.9590863454,True,current,resources/text//intrinsic/249436759.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/249436759.txt
analogy,lm-rank,v9,4,accuracy,0.000788191458871,0.0997126102817,task partition corpus,3984,10133,132101,5118625,33.1578815261,28.4899598394,True,current,resources/text//intrinsic/249437445.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/249437445.txt
analogy,lm-rank,v10,3,accuracy,0.000429922613929,0.134063551749,task partition corpus,3984,7482,113465,3751959,28.4801706827,26.0805722892,True,current,resources/text//intrinsic/-437643492.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/-437643492.txt
analogy,lm-rank,v11,3,accuracy,0.000358268844941,0.132194750766,task partition corpus,3984,7481,112685,3698669,28.2843875502,25.9593373494,True,current,resources/text//intrinsic/-105505461.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/-105505461.txt
analogy,lm-rank,v12,3,accuracy,0.000501576382918,0.132722151218,task partition corpus,3984,7482,112912,3714418,28.3413654618,25.9987449799,True,current,resources/text//intrinsic/-963158364.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/-963158364.txt
analogy,lm-rank,v13,3,accuracy,0.000573230151906,0.132583855115,task partition corpus,3984,7480,112822,3708564,28.3187751004,25.9829317269,True,current,resources/text//intrinsic/-1289888530.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/-1289888530.txt
analogy,lm-rank,v14,3,accuracy,0.000214961306965,0.132519806993,task partition corpus,3984,8589,129275,4887485,32.4485441767,28.9736445783,True,current,resources/text//intrinsic/-1711814143.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/-1711814143.txt
analogy,lm-rank,v15,3,accuracy,0.000429922613929,0.129643170091,task partition corpus,3984,8667,129030,4868634,32.3870481928,28.953313253,True,current,resources/text//intrinsic/-1379676112.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/-1379676112.txt
analogy,lm-rank,v16,3,accuracy,0.000429922613929,0.130338900403,task partition corpus,3984,8648,129097,4873323,32.4038654618,28.9570783133,True,current,resources/text//intrinsic/2057638281.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/2057638281.txt
analogy,lm-rank,v17,3,accuracy,0.000429922613929,0.131095653439,task partition corpus,3984,8619,129031,4868797,32.3872991968,28.9445281124,True,current,resources/text//intrinsic/1730908115.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/1730908115.txt
analogy,lm-rank,v18,3,accuracy,0.000358268844941,0.127841060355,task partition corpus,3984,8737,129154,4878826,32.4181726908,28.968624498,True,current,resources/text//intrinsic/-533848757.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/-533848757.txt
analogy,lm-rank,v19,3,accuracy,0.000358268844941,0.12777669109,task partition corpus,3984,8740,129171,4879719,32.422439759,28.9673694779,True,current,resources/text//intrinsic/-1391501660.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/-1391501660.txt
analogy,lm-rank,v20,3,accuracy,0.000358268844941,0.127954166317,task partition corpus,3984,8735,129183,4880907,32.4254518072,28.9698795181,True,current,resources/text//intrinsic/-1718231826.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/-1718231826.txt
analogy,lm-rank,v21,3,accuracy,0.000644883920894,0.127945964945,task partition corpus,3984,8731,129125,4876125,32.4108935743,28.9568273092,True,current,resources/text//intrinsic/-140896484.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/-140896484.txt
analogy,lm-rank,v22,3,accuracy,0.000644883920894,0.12784018203,task partition corpus,3984,8733,129100,4874326,32.4046184739,28.9505522088,True,current,resources/text//intrinsic/191241547.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/191241547.txt
analogy,lm-rank,v23,3,accuracy,0.000644883920894,0.127816702783,task partition corpus,3984,8734,129105,4874547,32.405873494,28.952560241,True,current,resources/text//intrinsic/-666411356.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/-666411356.txt
analogy,lm-rank,v24,3,accuracy,0.000788191458871,0.127826719299,task partition corpus,3984,8734,129107,4874929,32.406375502,28.953564257,True,current,resources/text//intrinsic/-993141522.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/-993141522.txt
analogy,lm-rank,v25,3,accuracy,0.000644883920894,0.12708265359,task partition corpus,3984,8749,128955,4863215,32.3682228916,28.9585843373,True,current,resources/text//intrinsic/452597532.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/452597532.txt
analogy,lm-rank,v26,3,accuracy,0.000716537689882,0.127039420015,task partition corpus,3984,8750,128946,4862672,32.3659638554,28.9570783133,True,current,resources/text//intrinsic/784735563.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/784735563.txt
analogy,lm-rank,v27,3,accuracy,0.000859845227859,0.127045925249,task partition corpus,3984,8750,128951,4862921,32.3672188755,28.9578313253,True,current,resources/text//intrinsic/-72917340.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/-72917340.txt
analogy,lm-rank,v28,3,accuracy,0.000859845227859,0.127045925249,task partition corpus,3984,8750,128951,4862921,32.3672188755,28.9578313253,True,current,resources/text//intrinsic/-399647506.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/-399647506.txt
analogy,lm-skip,v1,2,accuracy,0.000143307537976,0.0593662798434,task partition corpus,10000,15350,244986,6993560,24.4986,22.9137,True,current,resources/text//intrinsic/249470410.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/249470410.txt
analogy,lm-skip,v2,2,accuracy,0.0200630553167,0.233434254142,task partition corpus,10000,11937,378396,16629860,37.8396,33.9489,True,current,resources/text//intrinsic/249471096.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/249471096.txt
analogy,lm-skip,v3,2,accuracy,0.0161937517913,0.281579921324,task partition corpus,10000,12022,418313,20346467,41.8313,35.3885,True,current,resources/text//intrinsic/249471782.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/249471782.txt
analogy,lm-skip,v4,3,accuracy,0.000214961306965,0.0593662798434,task partition corpus,10000,15350,244986,6993560,24.4986,22.9137,True,current,resources/text//intrinsic/249472867.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/249472867.txt
analogy,lm-skip,v5,3,accuracy,0.0205646316996,0.233434254142,task partition corpus,10000,11937,378396,16629860,37.8396,33.9489,True,current,resources/text//intrinsic/249473553.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/249473553.txt
analogy,lm-skip,v6,3,accuracy,0.0152622527945,0.281579921324,task partition corpus,10000,12022,418313,20346467,41.8313,35.3885,True,current,resources/text//intrinsic/249474239.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/249474239.txt
analogy,lm-skip,v7,4,accuracy,0.000143307537976,0.0593662798434,task partition corpus,10000,15350,244986,6993560,24.4986,22.9137,True,current,resources/text//intrinsic/249475324.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/249475324.txt
analogy,lm-skip,v8,4,accuracy,0.0207795930066,0.233434254142,task partition corpus,10000,11937,378396,16629860,37.8396,33.9489,True,current,resources/text//intrinsic/249476010.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/249476010.txt
analogy,lm-skip,v9,4,accuracy,0.0162654055603,0.281579921324,task partition corpus,10000,12022,418313,20346467,41.8313,35.3885,True,current,resources/text//intrinsic/249476696.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/249476696.txt
analogy,lm-subword,v1,2,accuracy,0.000214961306965,0.0115200307574,task partition corpus,10000,26546,185917,4058873,18.5917,17.4607,True,current,resources/text//intrinsic/74555517.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/74555517.txt
analogy,lm-subword,v2,2,accuracy,0.0347520779593,0.025855209275,task partition corpus,10000,26711,280648,9223210,28.0648,26.4589,True,current,resources/text//intrinsic/74556203.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/74556203.txt
analogy,lm-subword,v3,2,accuracy,0.0301662367441,0.0340513700744,task partition corpus,10000,26765,322741,12196153,32.2741,29.5121,True,current,resources/text//intrinsic/74556889.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/74556889.txt
analogy,lm-subword,v4,3,accuracy,0.000214961306965,0.0115200307574,task partition corpus,10000,26546,185917,4058873,18.5917,17.4607,True,current,resources/text//intrinsic/74557974.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/74557974.txt
analogy,lm-subword,v5,3,accuracy,0.0353969618802,0.0257429076806,task partition corpus,10000,26751,280562,9210674,28.0562,26.4249,True,current,resources/text//intrinsic/74558660.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/74558660.txt
analogy,lm-subword,v6,3,accuracy,0.0288048151333,0.0340524318304,task partition corpus,10000,26738,322436,12171938,32.2436,29.4986,True,current,resources/text//intrinsic/74559346.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/74559346.txt
analogy,lm-subword,v7,4,accuracy,0.000286615075953,0.0115200307574,task partition corpus,10000,26546,185917,4058873,18.5917,17.4607,True,current,resources/text//intrinsic/74560431.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/74560431.txt
analogy,lm-subword,v8,4,accuracy,0.0377615362568,0.0260631697073,task partition corpus,10000,26609,280662,9226522,28.0662,26.4536,True,current,resources/text//intrinsic/74561117.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/74561117.txt
analogy,lm-subword,v9,4,accuracy,0.0292347377472,0.0336564596778,task partition corpus,10000,26891,322332,12168476,32.2332,29.4681,True,current,resources/text//intrinsic/74561803.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/74561803.txt
analogy,lm-subword,v10,3,accuracy,0.0339638865004,0.0258086334224,task partition corpus,10000,26692,280278,9193502,28.0278,26.4121,True,current,resources/text//intrinsic/113265181.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/113265181.txt
analogy,lm-subword,v11,3,accuracy,0.0371166523359,0.0259947666071,task partition corpus,10000,26619,280567,9209225,28.0567,26.4532,True,current,resources/text//intrinsic/117382896.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/117382896.txt
analogy,lm-subword,v12,3,accuracy,0.0358985382631,0.0258041342536,task partition corpus,10000,26732,280724,9219470,28.0724,26.4691,True,current,resources/text//intrinsic/125618326.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/125618326.txt
analogy,lm-syllable,v1,2,accuracy,0,0.0127224213245,task partition corpus,10000,25329,186622,4080926,18.6622,17.5524,True,current,resources/text//intrinsic/1312390923.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/1312390923.txt
analogy,lm-syllable,v2,2,accuracy,0.000788191458871,0.0823527829655,task partition corpus,10000,15887,298782,10392134,29.8782,27.6336,True,current,resources/text//intrinsic/1312391609.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/1312391609.txt
