task,method,variant_id,lm_window_length,metric,score,average_distinct_ngrams_per_sentence,sampled_sentences,included_in_plot,metric_status,corpus_filename,resolved_corpus_file
pos,frequent-ngram,v3,2,f_score,0.462311014517,15.084,10000,True,current,resources/text//pos/175839457.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/pos/175839457.txt
pos,frequent-ngram,v4,3,f_score,0.473342906409,15.084,10000,True,current,resources/text//pos/175840542.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/pos/175840542.txt
pos,frequent-ngram,v5,3,f_score,0.477751271798,15.084,10000,True,current,resources/text//pos/175841228.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/pos/175841228.txt
pos,frequent-ngram,v6,3,f_score,0.462524339047,15.084,10000,True,current,resources/text//pos/175841914.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/pos/175841914.txt
pos,frequent-ngram,v7,4,f_score,0.473224762494,15.084,10000,True,current,resources/text//pos/175842999.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/pos/175842999.txt
pos,frequent-ngram,v8,4,f_score,0.46045343375,15.084,10000,True,current,resources/text//pos/175843685.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/pos/175843685.txt
pos,frequent-ngram,v9,4,f_score,0.471494022881,15.084,10000,True,current,resources/text//pos/175844371.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/pos/175844371.txt
pos,lm-lemma,v1,2,f_score,0.627157704201,20.3928,10000,True,current,resources/text//pos/-1392569637.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/pos/-1392569637.txt
pos,lm-lemma,v2,2,f_score,0.62796583431,20.3928,10000,True,current,resources/text//pos/-1392568951.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/pos/-1392568951.txt
pos,lm-lemma,v3,2,f_score,0.634811551875,20.3928,10000,True,current,resources/text//pos/-1392568265.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/pos/-1392568265.txt
pos,lm-lemma,v4,3,f_score,0.623650448134,20.3724,10000,True,current,resources/text//pos/-1392567180.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/pos/-1392567180.txt
pos,lm-lemma,v5,3,f_score,0.614352667601,20.3724,10000,True,current,resources/text//pos/-1392566494.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/pos/-1392566494.txt
pos,lm-lemma,v6,3,f_score,0.61872710465,20.3724,10000,True,current,resources/text//pos/-1392565808.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/pos/-1392565808.txt
pos,lm-lemma,v7,4,f_score,0.630792918673,20.3707,10000,True,current,resources/text//pos/-1392564723.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/pos/-1392564723.txt
pos,lm-lemma,v8,4,f_score,0.645612056817,20.3707,10000,True,current,resources/text//pos/-1392564037.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/pos/-1392564037.txt
pos,lm-lemma,v9,4,f_score,0.616656603597,20.3707,10000,True,current,resources/text//pos/-1392563351.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/pos/-1392563351.txt
pos,lm-lemma,v10,3,f_score,0.621752456097,20.3724,10000,True,current,resources/text//pos/-2079644288.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/pos/-2079644288.txt
pos,lm-lemma,v11,3,f_score,0.627610908089,20.3724,10000,True,current,resources/text//pos/-1747506257.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/pos/-1747506257.txt
pos,lm-lemma,v12,3,f_score,0.62207732245,20.3724,10000,True,current,resources/text//pos/1689808136.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/pos/1689808136.txt
pos,lm-lemma,v13,3,f_score,0.621366946834,20.3724,10000,True,current,resources/text//pos/1363077970.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/pos/1363077970.txt
pos,lm-lemma,v14,3,f_score,0.617064423602,20.3724,10000,True,current,resources/text//pos/941152357.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/pos/941152357.txt
pos,lm-lemma,v15,3,f_score,0.618802637214,20.3724,10000,True,current,resources/text//pos/1273290388.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/pos/1273290388.txt
pos,lm-lemma,v16,3,f_score,0.634760901784,20.3724,10000,True,current,resources/text//pos/415637485.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/pos/415637485.txt
pos,lm-lemma,v17,3,f_score,0.635365215101,20.3724,10000,True,current,resources/text//pos/88907319.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/pos/88907319.txt
pos,lm-lemma,v18,3,f_score,0.614235593855,20.3724,10000,True,current,resources/text//pos/2119117743.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/pos/2119117743.txt
pos,lm-lemma,v19,3,f_score,0.626998478388,20.3724,10000,True,current,resources/text//pos/1261464840.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/pos/1261464840.txt
